,B,V
835,19.625,19.002
836,19.342,18.761
837,22.414,21.245
838,22.154,21.155
839,20.27,19.579
840,21.968,20.987
841,21.848,21.261
842,22.682,21.001
843,22.568,21.199
844,20.995,20.211
845,18.538,17.876
846,21.558,20.639
847,21.58,20.832
848,18.972,18.421
849,20.417,19.779
850,21.468,20.659
851,20.828,20.139
852,20.952,20.488
853,19.756,19.122
854,20.425,19.652
855,20.444,19.7
856,21.255,20.273
857,21.409,20.623
858,18.583,18.007
859,19.883,19.195
860,20.333,19.646
861,22.602,21.937
862,20.408,19.771
863,21.247,20.274
864,22.318,20.853
865,14.96,14.871
866,18.838,18.301
867,19.862,19.105
868,21.222,20.531
869,20.327,19.583
870,21.595,20.812
871,21.552,20.117
872,21.37,20.498
873,20.332,19.638
874,22.393,20.925
875,21.201,20.363
876,,21.562
877,19.148,18.248
878,23.215,22.307
879,22.207,21.171
880,21.285,20.409
881,20.006,19.434
882,20.066,19.268
883,20.328,19.672
884,21.091,20.378
885,22.019,21.365
886,20.318,19.815
887,22.634,21.04
888,21.569,20.287
889,21.693,20.93
890,18.31,17.787
891,20.285,19.612
892,22.081,21.223
893,23.026,21.411
894,21.875,20.849
895,20.641,19.978
896,21.453,20.631
897,21.814,21.031
898,21.945,20.597
899,19.546,18.977
900,20.272,19.549
901,15.86,15.189
902,22.182,21.697
903,19.269,18.479
904,21.023,19.952
905,19.945,19.54
906,21.217,20.333
907,22.252,21.331
908,18.157,17.259
909,22.978,21.316
910,20.373,19.242
911,17.357,16.606
912,21.349,20.44
913,22.533,21.531
914,20.283,19.621
915,21.842,20.895
916,21.272,20.026
917,19.951,19.315
918,22.344,21.228
919,21.33,20.498
920,21.614,21.531
921,22.353,21.256
922,21.817,20.954
923,22.258,20.637
924,19.056,18.466
925,20.99,20.236
926,19.922,19.319
927,20.481,19.79
928,20.872,20.023
929,19.769,19.142
930,,21.707
931,16.588,15.814
932,19.133,18.503
933,22.193,21.727
934,20.346,19.63
935,18.874,18.254
936,19.073,18.164
937,17.075,16.444
938,17.488,16.687
939,22.713,21.703
940,18.739,18.191
941,18.582,18.031
942,17.9,17.14
943,20.742,19.875
944,15.553,14.516
945,18.245,17.691
946,21.308,20.222
947,19.742,19.102
948,22.177,21.355
949,19.149,18.551
950,18.58,18.034
951,22.082,21.356
952,20.534,19.927
953,19.604,18.965
954,23.153,21.551
955,21.164,20.363
956,20.062,19.308
957,19.21,18.603
958,22.176,21.482
959,19.605,19.037
960,22.017,21.227
961,20.269,19.722
962,15.431,15.402
963,22.149,20.937
964,20.145,19.41
965,20.882,20.128
966,23.174,21.251
967,20.972,19.997
968,21.793,20.36
