RAJ2000,_DEJ2000,n_Seq,Seq,RAJ2000,DEJ2000,pmRA,pmDE,Umag,e_Umag,Bmag,e_Bmag,Vmag,e_Vmag,Icmag,e_Icmag
201.69475660,-47.74823643, ,   180,201.694761,-47.748235,  3.32,  1.56,      ,      ,21.879, 0.145,20.668, 0.104,19.679, 0.044
201.60648140,-47.74813672, ,   181,201.606482,-47.748132,  0.40,  5.23,      ,      ,15.399, 0.009,14.521, 0.014,13.415, 0.007
201.51723216,-47.74800782, ,   182,201.517237,-47.748000,  3.52,  8.56,      ,      ,20.137, 0.022,19.447, 0.039,18.675, 0.043
201.37805208,-47.74763282, ,   183,201.378064,-47.747625,  8.69,  8.56,      ,      ,20.347, 0.062,19.554, 0.043,18.828, 0.058
201.36804550,-47.74760459, ,   184,201.368048,-47.747595,  1.88, 10.49,      ,      ,20.489, 0.024,19.756, 0.145,18.917, 0.182
201.35589195,-47.74757981, ,   185,201.355889,-47.747564, -2.25, 17.42,      ,      ,21.843, 0.202,20.549, 0.184,19.808, 0.179
201.86298166,-47.74812814, ,   186,201.862982,-47.748123,  0.21,  5.56,      ,      ,21.682, 0.152,20.763, 0.097,19.789, 0.055
201.76937088,-47.74815445, ,   187,201.769377,-47.748147,  4.46,  8.21,      ,      ,20.027, 0.067,19.339, 0.026,18.518, 0.019
201.71699440,-47.74819600, ,   188,201.717006,-47.748188,  8.62,  8.69,      ,      ,20.837, 0.068,20.026, 0.071,19.144, 0.046
201.69046554,-47.74810899, ,   189,201.690471,-47.748108,  4.10,  1.02,      ,      ,19.425, 0.015,18.820, 0.024,18.029, 0.031
201.63734175,-47.74809983, ,   190,201.637342,-47.748093,  0.14,  7.41,      ,      ,18.936, 0.017,17.908, 0.015,16.718, 0.018
201.57026192,-47.74801854, ,   191,201.570269,-47.748014,  5.13,  5.09,      ,      ,21.129, 0.048,20.451, 0.069,19.570, 0.183
201.33686844,-47.74742766, ,   192,201.336864,-47.747423, -3.35,  5.04,      ,      ,19.094, 0.014,18.335, 0.042,17.424, 0.053
201.98698730,-47.74798866, ,   193,201.986983,-47.747987, -3.12,  1.88,      ,      ,21.995, 0.171,20.754, 0.144,20.152, 0.484
201.63238681,-47.74804661, ,   194,201.632396,-47.748050,  6.84, -3.71,      ,      ,20.769, 0.089,20.057, 0.119,19.142, 0.065
